,Unnamed: 0,fecha_opreal,hora_opreal,central_infotecnica_id,central_nombre,central_tipo,central_tipo_nemotecnico,generacion_real_mwh,generacion_real_ernc_mwh,fecha,fecha2
222821,320104,2019-09-27,1,544,PE SAN GABRIEL,Eólica,eolica,18.8,18.8,2019-09-27 0:00:00,2019-09-27 00:00:00
222829,320619,2019-09-27,2,544,PE SAN GABRIEL,Eólica,eolica,10.1,10.1,2019-09-27 1:00:00,2019-09-27 01:00:00
222837,321134,2019-09-27,3,544,PE SAN GABRIEL,Eólica,eolica,13.6,13.6,2019-09-27 2:00:00,2019-09-27 02:00:00
222845,321649,2019-09-27,4,544,PE SAN GABRIEL,Eólica,eolica,12.9,12.9,2019-09-27 3:00:00,2019-09-27 03:00:00
222853,322164,2019-09-27,5,544,PE SAN GABRIEL,Eólica,eolica,8.2,8.2,2019-09-27 4:00:00,2019-09-27 04:00:00
222861,322679,2019-09-27,6,544,PE SAN GABRIEL,Eólica,eolica,17.0,17.0,2019-09-27 5:00:00,2019-09-27 05:00:00
222869,323194,2019-09-27,7,544,PE SAN GABRIEL,Eólica,eolica,24.7,24.7,2019-09-27 6:00:00,2019-09-27 06:00:00
222877,323709,2019-09-27,8,544,PE SAN GABRIEL,Eólica,eolica,29.0,29.0,2019-09-27 7:00:00,2019-09-27 07:00:00
222885,324224,2019-09-27,9,544,PE SAN GABRIEL,Eólica,eolica,36.2,36.2,2019-09-27 8:00:00,2019-09-27 08:00:00
222893,324739,2019-09-27,10,544,PE SAN GABRIEL,Eólica,eolica,32.6,32.6,2019-09-27 9:00:00,2019-09-27 09:00:00
222901,325254,2019-09-27,11,544,PE SAN GABRIEL,Eólica,eolica,42.6,42.6,2019-09-27 10:00:00,2019-09-27 10:00:00
222909,325769,2019-09-27,12,544,PE SAN GABRIEL,Eólica,eolica,60.0,60.0,2019-09-27 11:00:00,2019-09-27 11:00:00
222917,326284,2019-09-27,13,544,PE SAN GABRIEL,Eólica,eolica,54.0,54.0,2019-09-27 12:00:00,2019-09-27 12:00:00
