,fecha_opreal,hora_opreal,central_infotecnica_id,central_nombre,central_tipo,central_tipo_nemotecnico,generacion_real_mwh,generacion_real_ernc_mwh
255,2021-04-01,1,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
361,2021-04-01,10,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
1183,2021-04-01,2,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
2163,2021-04-01,3,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
2790,2021-04-01,12,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
3009,2021-04-01,4,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
3811,2021-04-01,5,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
4763,2021-04-01,6,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
5637,2021-04-01,8,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
5658,2021-04-01,13,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
6911,2021-04-01,14,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
7095,2021-04-01,20,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
8116,2021-04-01,15,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
8350,2021-04-01,7,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
9224,2021-04-01,9,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
10150,2021-04-01,11,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
10313,2021-04-01,16,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
11460,2021-04-01,17,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
12124,2021-04-01,18,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
12789,2021-04-01,19,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
13454,2021-04-01,21,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
14119,2021-04-01,22,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
14784,2021-04-01,23,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
15449,2021-04-01,24,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
16155,2021-04-02,2,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
16769,2021-04-02,22,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
16984,2021-04-02,3,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
18096,2021-04-02,4,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
18311,2021-04-02,1,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
19357,2021-04-02,9,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
19681,2021-04-02,5,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
20879,2021-04-02,6,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
20987,2021-04-02,15,193,HP FLORIDA III,Hidráulica,hidraulica,2.3,0.0
